electorate_name,electorate_type,Total_valid_electorate_votes,National_votes,National_share,Labour_votes,Labour_share,Green_votes,Green_share,ACT_votes,ACT_share,NZ First_votes,NZ First_share,Te Pāti Māori_votes,Te Pāti Māori_share,TOP_votes,TOP_share,Others_votes,Others_share
Glendene,general,24225.506049615087,8539.66101674785,0.3525220381746745,10401.460886330005,0.4293781901239461,2479.7945157813538,0.10236732058136619,1460.5425744484912,0.06029202379060557,349.1738434553901,0.014414093806624614,604.0028002216202,0.02493357731410561,1.0000015341856764e-09,4.128062909260382e-14,390.8704126293771,0.01613535177240075
Hamilton East,general,29205.0,14308.0,0.4899161102550933,10331.0,0.3537407978085944,0.0,0.0,1306.0,0.04471837014209896,971.0,0.033247731552816295,771.0,0.026399589111453518,868.0,0.029720938195514468,650.0,0.022256462934429035
Hamilton West,general,30357.0,14300.0,0.47106104028724843,9160.0,0.3017425964357479,2355.0,0.0775768356556972,1780.0,0.05863557004974141,1436.0,0.047303752017656554,0.0,0.0,811.0,0.026715419837269824,515.0,0.016964785716638668
Henderson,general,23999.21120630144,9332.019438705687,0.388863486433435,10070.535959465555,0.4196373302876654,1867.7230587137306,0.07782766689181626,1511.0448217189291,0.06296495216176996,273.0377687367842,0.011377432224221534,528.7749525089309,0.022033952342454154,61.1090951633925,0.002546404446980579,354.9661112884311,0.014791370775421643
Hutt South,general,36181.12634754339,16451.902364686146,0.4547288822549181,15152.031213100488,0.4188005778720325,1768.6133678716517,0.048884290830686856,481.53094858147347,0.013309465687664935,1011.8892695792633,0.027968514906166714,1.0000316062635305e-09,2.7640770316745112e-14,858.0124550002138,0.02371537564315521,457.1467287231489,0.012635488369112715
Ilam,general,33698.34490916104,15380.143665048257,0.4564259411671318,7487.811843774614,0.2222106400633873,1582.1319216410975,0.046951840445200094,8.29239985830682,0.0002460878449700753,22.557506409786082,0.0006694235969243736,1.0000336529084686e-09,2.967731063948553e-14,8429.005319833092,0.25014179125975733,788.4022525948824,0.023396871186363976
Invercargill,general,32840.18222068151,18783.586711796146,0.5719939884326205,9676.65469289554,0.2946715341111379,7.005605623297934,0.00021333328737155771,1709.799226298184,0.05206646067521937,9.999876022869452e-10,3.0451420476371185e-14,1.00001220685735e-09,3.0452169729779256e-14,9.999791857915747e-10,3.0451164178954224e-14,2663.135984065348,0.08109727905732375
Kaikōura,general,35716.0,18076.0,0.506103707022063,8029.0,0.224801209541942,1949.0,0.05456938066972785,2190.0,0.0613170567812745,3879.0,0.10860678687423003,0.0,0.0,0.0,0.0,1593.0,0.044601859110762684
Kaipara ki Mahurangi,general,33780.015949842935,20140.091310150816,0.596238593214403,5924.79922846809,0.17540108943195953,2960.1296113041435,0.08763334227222347,1900.1632296736489,0.05625350121264515,1874.7043452716725,0.05549980207658454,1.0000169424795325e-09,2.9605064137621333e-14,9.99983921256497e-10,2.960408655875808e-14,980.1282249725638,0.029016267355889917
Kapiti,general,35581.61999328791,17291.01457484599,0.4859742501499868,12943.87833303769,0.36379540018904183,2897.0711731648103,0.0814239086385393,1048.3970418777437,0.029465822498766753,561.8538003273092,0.015791235275759777,1.0000270870580953e-09,2.810635614579384e-14,9.999940655014057e-10,2.8105428055300272e-14,839.4050700323627,0.02359197881161395
Kenepuru,general,44076.733769304075,15044.953431823073,0.34135002740548726,21859.066653381942,0.4959532134813753,3386.3356786445297,0.07683146258628333,933.5294794812669,0.021180545014564862,996.1623194713026,0.02260160103470912,1.0000393874006194e-09,2.268956656081875e-14,1339.757375279257,0.0303973168704492,516.9288312217066,0.011728429170872764
Manurewa,general,20292.965161696382,6565.7502347669915,0.3235618774427982,11939.135928125977,0.5883637204920725,1.0000037976288721e-09,4.928044696208409e-14,27.706050425561084,0.0013653613633899558,1.0000123495937646e-09,4.9280868405135914e-14,986.8282301160441,0.04863115157185573,1.000003932890517e-09,4.9280453627813096e-14,773.5447182588066,0.03812048469350011
Maungakiekie,general,27652.472442908915,13391.927128936202,0.48431465190941614,10116.615156843289,0.3658640687792696,2164.9504637683776,0.07829472339313727,1024.8933980741742,0.0370649335643437,647.7230138805915,0.023424690336275426,1.0000279738522099e-09,3.616568365350601e-14,9.999949522646149e-10,3.6164489438622106e-14,306.3632814042786,0.011079527581250068
Mt Albert,general,31759.04282673729,11591.837971440651,0.3650088510398922,12599.717239168474,0.39674539311429285,5315.9683216207595,0.1673915296279892,1374.42793550184,0.04327858643389133,35.44344067021368,0.0011160585221954612,26.901673744760625,0.0008470916388598165,672.4384624772234,0.021174035661002136,142.3077821133682,0.004481049525641379
Mt Maunganui,general,36104.53622912285,19055.190323733823,0.5278007691160214,6546.479427425556,0.18132785965899365,2968.8124448611848,0.08223174185813698,3386.1963591261574,0.09379266291025175,3250.9681713475347,0.09004704083547116,33.01961177671136,0.0009145947217306911,9.999864211262417e-10,2.76981543195937e-14,863.8698908508859,0.023927926463131143
Mt Roskill,general,26936.41658280689,12905.88010945065,0.4791442767828208,10017.669840228447,0.37191645435559895,2135.078413864654,0.07926701579512326,1678.2690298841194,0.06230749036495282,1.000002181265944e-09,3.7126125290211545e-14,1.0000267861950973e-09,3.71270387739015e-14,9.99993764647943e-10,3.7125812814478714e-14,199.51918937601866,0.007407358265157195
Māngere,general,21585.954121587987,4469.814198148935,0.20707931496686552,13220.096567784352,0.6124658475035288,1978.0235939740708,0.09163865715001689,499.04901826484763,0.0231201397319755,1.000020480231628e-09,4.632934319394306e-14,640.2371007298815,0.029661156897846146,1.000012063460897e-09,4.632895325846924e-14,778.7336426838975,0.03607747931343882
Napier,general,35228.48452770094,19249.4836749968,0.5464414344156411,10867.968514099613,0.3085126024311196,1675.2275332934892,0.0475552358557286,1057.6790472778187,0.030024683544970763,1487.9966236868072,0.04224025034547763,1.0000223357916735e-09,2.8387963482234682e-14,9.999893143916022e-10,2.838702609287266e-14,890.1291343444037,0.025268388970770127
Nelson,general,35926.0,15257.0,0.42467850581751376,15165.0,0.42211768635528585,2036.0,0.0566720480988699,2262.0,0.06296275677782108,0.0,0.0,0.0,0.0,0.0,0.0,1206.0,0.03356900295050938
New Plymouth,general,36887.40475955143,19849.58015478855,0.5381355990815746,13381.299497335887,0.3627761174460735,9.99984814271562e-10,2.711026746682525e-14,1592.1132178343496,0.043163270638663445,9.999933660737702e-10,2.7110499311991174e-14,1.000017970786962e-09,2.7111166362476394e-14,9.999849495310732e-10,2.7110271133802462e-14,2064.4118895886404,0.055967608397344604
North Shore,general,34379.53103994377,21859.140953654627,0.6358455567846135,7397.981532409602,0.21519481010395403,2482.961448450607,0.07222516237084105,1651.3738757076967,0.04803568190008735,9.999930256011119e-10,2.9088111170158457e-14,1.0000176303055217e-09,2.908882687952728e-14,891.9862712821614,0.025946376781692006,96.08695843708333,0.0027950076225183294
Northcote,general,31892.961994607653,17642.103809806504,0.5531896124338423,9963.951006871346,0.31243179697973944,2386.6429154343336,0.0748360900514152,793.2578845206496,0.0248735653314853,891.7977769397135,0.027963403453074517,1.0000246532201207e-09,3.135698873008693e-14,32.78928767485348,0.001028147976929567,182.41931335925503,0.005719979337246669
Northland,general,38339.926706317834,14162.109575992074,0.36939853660961114,8511.014620613982,0.22199774186520313,1841.9547359914643,0.048044776120772646,1741.1460040332981,0.045415323364246536,7065.96593385028,0.18430569695085933,1.0000223863322832e-09,2.6084165223112194e-14,9.999893649303505e-10,2.6083303906689997e-14,5017.735835834738,0.13088052065301953
Pakuranga,general,30125.835563766643,22219.121496351552,0.7375751582167854,5891.33308749539,0.19556582985653628,9.99974152018473e-10,3.3194655941227474e-14,1076.0717684792799,0.03572075543216442,9.999827037288276e-10,3.3194939819648085e-14,1.0000073081800279e-09,3.3195756577051835e-14,9.999742872757904e-10,3.319466043116364e-14,939.309211436419,0.031180852058145612
Palmerston North,general,34265.049995459616,12713.28467571288,0.37104356208222716,14270.655667609664,0.4164962122081878,2784.2334735358395,0.08125924432911215,3119.1348393696076,0.09103350793563338,213.60658715787588,0.006234214918092499,1.0000293119698557e-09,2.918635486931136e-14,9.99996290338601e-10,2.918539111651269e-14,1164.134752071751,0.033975854090453006
Papakura,general,25844.285960536923,15085.857210084563,0.5837460483030451,6701.399657901778,0.25931012828256866,9.999813386773914e-10,3.869419859280533e-14,1910.9876110633368,0.07394551405196857,1157.0572152118336,0.04477223717780687,1.0000144950779576e-09,3.8695481577095646e-14,9.999814739363789e-10,3.8694203826641124e-14,988.984266272411,0.03826866774825919
Port Waikato,general,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangitata,general,35044.0,20157.0,0.5751911882205227,10578.0,0.3018491039835635,1386.0,0.03955027964844196,0.0,0.0,1823.0,0.05202031731537496,0.0,0.0,0.0,0.0,1100.0,0.03138911083209679
Rangitīkei,general,38007.63091677046,18699.085630706097,0.4920033603186063,10713.233221194792,0.28188259302097907,2182.713543695257,0.05743074390479958,4186.6303769831975,0.11015705551426501,1838.9946037172645,0.0483869394742438,1.0000218540193608e-09,2.631220169191713e-14,9.999888326339142e-10,2.63113328455509e-14,386.9735404718536,0.010181903330818146
Remutaka,general,35479.36082694952,11777.770352756443,0.3319753163246934,19410.506781353448,0.5471162143396966,2159.4865954198804,0.06086858752901981,1025.7821620696604,0.028913312752239694,17.118025331541748,0.0004824989538841455,1.0000369027103448e-09,2.8187641393087256e-14,17.086410075117296,0.0004816078272584903,1071.6104999424385,0.0302050578369441
