electorate_name,electorate_type,Total_valid_party_votes,National_votes,National_share,Labour_votes,Labour_share,Green_votes,Green_share,ACT_votes,ACT_share,NZ First_votes,NZ First_share,Te Pāti Māori_votes,Te Pāti Māori_share,TOP_votes,TOP_share,Others_votes,Others_share
Hamilton West,general,38736.0,16026.0,0.41372366790582404,10242.0,0.26440520446096655,3863.0,0.09972635274679885,3398.0,0.08772201569599339,2410.0,0.06221602643535729,711.0,0.018355018587360595,967.0,0.024963857909954566,1119.0,0.028887856257744735
Henderson,general,33285.004189752355,12509.774341654198,0.37585068666913135,12039.576382833358,0.36172379509885,3210.8308033926737,0.09646800408023651,1996.1961518627704,0.05997483838742767,1487.9620657604926,0.0447051680454013,532.189843233734,0.015989410564482383,459.460779920894,0.013804297736674251,1049.0138210942328,0.03151716043916593
Hutt South,general,44770.13695984704,15416.161352286212,0.3443517643245376,14325.8002667074,0.3199963002767901,6989.950883895627,0.15613497189132383,2590.9623736643052,0.05787448926366369,2292.8891987121415,0.051216410034532346,604.3944402107318,0.013500396569450929,1531.997070770182,0.034220314785528685,1017.9813736004404,0.022738713875542205
Ilam,general,43638.31806536975,18810.882107043355,0.4310777887704989,9640.385257691487,0.22092297087042628,6516.266131176477,0.14932939236357604,3611.2314572955706,0.082756441855885,1785.578151638209,0.04091903170223508,271.25561215412927,0.0062162034089409965,2170.323360955724,0.049736008658915705,832.3959874147946,0.01907552339089138
Invercargill,general,37690.20728749561,16194.750160377864,0.4296949154524049,9619.789272264452,0.2552416367699728,2343.406014611922,0.062177535272074376,4015.042589885421,0.10653102821058688,2795.2138964292344,0.07416534290452571,279.2504619645937,0.007409345772897145,483.52308159189175,0.01282930626322589,1959.2318103702312,0.051984250375681974
Kaikōura,general,41939.0,17281.0,0.4120508357376189,8714.0,0.2077779632323136,3282.0,0.07825651541524595,5911.0,0.1409427978731014,3819.0,0.09106082643839862,215.0,0.0051264932401821695,703.0,0.016762440687665418,2014.0,0.04802212737547391
Kaipara ki Mahurangi,general,42841.9563995673,20368.226873189982,0.47544295568742234,7040.124401327668,0.16433328117432497,4052.715941598894,0.09460004829244818,5343.672771080179,0.12473405723170146,3032.5387469923103,0.07078668133869073,275.5778200068988,0.006432643061259088,780.3490673175901,0.018215206917286862,1948.7507780537785,0.04548848731823582
Kapiti,general,42848.52065051385,15640.44905457175,0.36502942455119086,12389.963608520287,0.2891669715139258,6144.1599901072605,0.1433973652363726,3105.2779924278807,0.07247348427736451,2809.1766103615796,0.06556283121827729,484.36624768103655,0.011304530454728016,1077.4443354826078,0.025146265583224678,1197.6828113614472,0.027952488186285783
Kenepuru,general,53179.33866055824,16628.147369606686,0.3126910285162967,20036.007835972574,0.3767755816888118,7910.167653458017,0.14875009249780508,2688.2246861265944,0.050551857841016144,2287.944227866892,0.0430246147028552,916.1226825213586,0.017227616371040633,1580.9840934508936,0.029730283913207717,1131.7401115552236,0.02128228549033613
Manurewa,general,31206.781884611566,9253.33142024956,0.2965265740970199,16207.124918603988,0.5193635686234256,1845.0963540428538,0.059126824264171214,848.9058050304204,0.027203513919957963,1066.9447303898949,0.03419065537424049,673.4224236687371,0.021580081285494147,184.87397367766445,0.005924357786902005,1127.082258948449,0.03611778567015816
Maungakiekie,general,39505.92002031225,16162.559751123154,0.40913106041611036,11115.637810242119,0.28137576934184205,5439.300107299671,0.13768775831850105,3097.7716637691897,0.07841546297372819,1533.8571051175547,0.038827301714997306,376.00967872932534,0.009518123425626286,1038.940943992036,0.026299238280968352,741.8429600392045,0.018778646549595872
Mt Albert,general,43766.46500422578,14712.347223276636,0.33616692691050515,12731.862276164547,0.29091421989106675,9450.757887273796,0.2159432609715476,2728.273585791873,0.06233915861200668,1420.055105508062,0.03244727395414886,625.3414162278939,0.014288617511052433,1450.1002272976584,0.03313378414231794,647.7272826853082,0.014800119028724057
Mt Maunganui,general,44224.55856411513,20877.539517386293,0.4720959731720053,7780.424225733717,0.17593581578326956,3656.336133005358,0.08267935804971863,5008.667334755796,0.11325911646471633,3736.2146823570683,0.08448562173612476,561.4936498542253,0.012696845374766534,904.684590874885,0.020457293446247332,1699.1984301477842,0.038423336994520954
Mt Roskill,general,36937.60213299779,16871.507489673186,0.4567722149273628,10143.074172654031,0.27460939449847915,4288.591976474086,0.1161075652079582,2432.5812349310045,0.06585869812465098,1418.1421851509235,0.038394194910550065,292.344368234943,0.007914810498229055,718.282770372527,0.019446490609570117,773.0779355070874,0.020929992244568863
Māngere,general,30316.049290177838,5887.59466091783,0.19421366619154848,18554.702257844307,0.6120626432572339,2372.7150469492008,0.07826858244076523,641.9404648081253,0.021175644440111146,1013.9213384287629,0.03344615105269389,641.3937467522126,0.021157609890498426,282.07731612692623,0.009304864357958784,921.704458350475,0.03040419939055982
