electorate_name,electorate_type,Total_valid_electorate_votes,ACT NEW ZEALAND_votes,ACT NEW ZEALAND_share,ANIMAL JUSTICE PARTY_votes,ANIMAL JUSTICE PARTY_share,AOTEAROA LEGALISE CANNABIS PARTY_votes,AOTEAROA LEGALISE CANNABIS PARTY_share,DEMOCRACYNZ_votes,DEMOCRACYNZ_share,FREEDOMS NZ_votes,FREEDOMS NZ_share,GREEN PARTY_votes,GREEN PARTY_share,LABOUR PARTY_votes,LABOUR PARTY_share,LEIGHTON BAKER_votes,LEIGHTON BAKER_share,NATIONAL PARTY_votes,NATIONAL PARTY_share,NEW CONSERVATIVES_votes,NEW CONSERVATIVES_share,NEW NATION PARTY_votes,NEW NATION PARTY_share,NEW ZEALAND FIRST PARTY_votes,NEW ZEALAND FIRST PARTY_share,NZ LOYAL_votes,NZ LOYAL_share,NEWZEAL_votes,NEWZEAL_share,TE PĀTI MĀORI_votes,TE PĀTI MĀORI_share,THE OPPORTUNITIES PARTY (TOP)_votes,THE OPPORTUNITIES PARTY (TOP)_share,WOMEN’S RIGHTS PARTY_votes,WOMEN’S RIGHTS PARTY_share,Economic Euthenics_votes,Economic Euthenics_share,Future Youth Party_votes,Future Youth Party_share,Human Rights Party_votes,Human Rights Party_share,"INDEPENDENT — BAINS, Pete_votes","INDEPENDENT — BAINS, Pete_share","INDEPENDENT — BALDOCK, Larry_votes","INDEPENDENT — BALDOCK, Larry_share","INDEPENDENT — BRIDGE, Phillip_votes","INDEPENDENT — BRIDGE, Phillip_share","INDEPENDENT — BURR, Bill_votes","INDEPENDENT — BURR, Bill_share","INDEPENDENT — CARACAS, Monaco_votes","INDEPENDENT — CARACAS, Monaco_share","INDEPENDENT — DICKSON, Gordon John_votes","INDEPENDENT — DICKSON, Gordon John_share","INDEPENDENT — DONG, Changrong_votes","INDEPENDENT — DONG, Changrong_share","INDEPENDENT — FUIMAONO PUHI, Geoffrey Karena_votes","INDEPENDENT — FUIMAONO PUHI, Geoffrey Karena_share","INDEPENDENT — GARDNER, Jared Warren_votes","INDEPENDENT — GARDNER, Jared Warren_share","INDEPENDENT — GARDNER, Mac_votes","INDEPENDENT — GARDNER, Mac_share","INDEPENDENT — GEIRINGER, Karl Thomas_votes","INDEPENDENT — GEIRINGER, Karl Thomas_share","INDEPENDENT — GREEN, Fiona_votes","INDEPENDENT — GREEN, Fiona_share","INDEPENDENT — HOWARD, Ted_votes","INDEPENDENT — HOWARD, Ted_share","INDEPENDENT — KERR, Karin_votes","INDEPENDENT — KERR, Karin_share","INDEPENDENT — LIU, Andi Shen_votes","INDEPENDENT — LIU, Andi Shen_share","INDEPENDENT — McCASKEY, John_votes","INDEPENDENT — McCASKEY, John_share","INDEPENDENT — McDONALD, Don S_votes","INDEPENDENT — McDONALD, Don S_share","INDEPENDENT — McTAGUE, Geoff_votes","INDEPENDENT — McTAGUE, Geoff_share","INDEPENDENT — NAERA, Jonn_votes","INDEPENDENT — NAERA, Jonn_share","INDEPENDENT — NAUFAHU, Tesi_votes","INDEPENDENT — NAUFAHU, Tesi_share","INDEPENDENT — O'MALLEY, Jim_votes","INDEPENDENT — O'MALLEY, Jim_share","INDEPENDENT — PAO STANLEY, Brooke_votes","INDEPENDENT — PAO STANLEY, Brooke_share","INDEPENDENT — PARK, Sam_votes","INDEPENDENT — PARK, Sam_share","INDEPENDENT — PETROWSKI, Melanie Lorraine_votes","INDEPENDENT — PETROWSKI, Melanie Lorraine_share","INDEPENDENT — PHELPS, Patrick Sean_votes","INDEPENDENT — PHELPS, Patrick Sean_share","INDEPENDENT — PHILLIPS, Melanie_votes","INDEPENDENT — PHILLIPS, Melanie_share","INDEPENDENT — PONK, Michael_votes","INDEPENDENT — PONK, Michael_share","INDEPENDENT — RICHARDS, Don_votes","INDEPENDENT — RICHARDS, Don_share","INDEPENDENT — SHAND, Daniel_votes","INDEPENDENT — SHAND, Daniel_share","INDEPENDENT — SMITH, John Clive_votes","INDEPENDENT — SMITH, John Clive_share","INDEPENDENT — TAYLOR, Pamela_votes","INDEPENDENT — TAYLOR, Pamela_share","INDEPENDENT — THOMSON, Wiremu_votes","INDEPENDENT — THOMSON, Wiremu_share","INDEPENDENT — TOAUTU, Paturiri_votes","INDEPENDENT — TOAUTU, Paturiri_share","INDEPENDENT — WAHED, Taupo_votes","INDEPENDENT — WAHED, Taupo_share","INDEPENDENT — WAKEMAN, Peter Keith_votes","INDEPENDENT — WAKEMAN, Peter Keith_share","INDEPENDENT — WEBBER, David_votes","INDEPENDENT — WEBBER, David_share",Money Free Party NZ_votes,Money Free Party NZ_share,NAP_votes,NAP_share,New World Order McCann Party_votes,New World Order McCann Party_share,New Zealand Sovereignty Party_votes,New Zealand Sovereignty Party_share,Northland Party_votes,Northland Party_share,Progressive Aotearoa New Zealand_votes,Progressive Aotearoa New Zealand_share,Protect and Prosper New Zealand_votes,Protect and Prosper New Zealand_share,Republic of New Zealand Party_votes,Republic of New Zealand Party_share,Workers Now_votes,Workers Now_share
Glendene,general,24258.151518676816,1461.1387227783887,0.06023289621443043,1.0000098731651704e-09,4.122366341043107e-14,9.999972984275107e-10,4.122314503879628e-14,149.88272789450588,0.006178654122887653,17.459442329834335,0.000719735067875719,2481.7143373950794,0.1023043464579055,10425.21775821525,0.42976142473958395,1.0000118334628095e-09,4.122374422028328e-14,8491.929474136634,0.3500649860974994,69.768404211208,0.0028760808158648015,1.0000087881365916e-09,4.122361868201976e-14,380.64610203561165,0.015691471864315173,30.520281606534333,0.001258145394262056,1.0025030965837364e-09,4.132644219869309e-14,611.5126274438683,0.0252085418368771,1.0000017601934298e-09,4.122332896731679e-14,0.0,0.0,1.0000040144942782e-09,4.122342189693868e-14,1.0000130374363086e-09,4.122379385199154e-14,9.999979992688913e-10,4.122317392976021e-14,9.999878042327063e-10,4.1222753657169485e-14,1.0000109738373251e-09,4.122370878372153e-14,1.000007847104894e-09,4.1223579889628804e-14,1.0000161491360055e-09,4.1223922126386006e-14,1.000005850753054e-09,4.1223497593505026e-14,1.0000058508472175e-09,4.122349759738675e-14,0.0,0.0,9.999780659755791e-10,4.1222352214498985e-14,1.0000076781940517e-09,4.1223572926573843e-14,0.0,0.0,9.99988110409419e-10,4.122276627877063e-14,1.0000071609731336e-09,4.122355160504332e-14,0.0,0.0,1.0000193013545556e-09,4.122405207109955e-14,9.999960768083168e-10,4.122309467967502e-14,0.0,0.0,9.99984101752685e-10,4.1222601028886236e-14,1.0000039713328067e-09,4.122342011768228e-14,1.000099845019023e-09,4.12273723432318e-14,9.999977425255598e-10,4.122316334596403e-14,0.0,0.0,9.999870569055286e-10,4.122272284990962e-14,9.999965901277264e-10,4.122311584037266e-14,1.0000130283605657e-09,4.1223793477859863e-14,0.0,0.0,138.36164059189383,0.005703717386931422,1.0000130665544687e-09,4.122379505233692e-14,1.0000058511213962e-09,4.122349760868929e-14,0.0,0.0,1.0000114926052254e-09,4.1223730169023695e-14,0.0,0.0,1.0000040259758507e-09,4.122342237024649e-14,0.0,0.0,1.0000146442810333e-09,4.1223860091363635e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0000059812726867e-09,4.122350297394931e-14,0.0,0.0,1.000014532770115e-09,4.1223855494520456e-14,9.999981683136329e-10,4.122318089833494e-14,0.0,0.0,9.999970223014727e-10,4.122313365598182e-14,0.0,0.0,9.999913638717816e-10,4.1222900397083804e-14
Hamilton East,general,29205.0,1306.0,0.04471837014209896,231.0,0.007909604519774011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10331.0,0.3537407978085944,0.0,0.0,14308.0,0.4899161102550933,0.0,0.0,0.0,0.0,971.0,0.033247731552816295,377.0,0.012908748501968841,0.0,0.0,771.0,0.026399589111453518,868.0,0.029720938195514468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0005478513953090224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0008902585173771614,0.0,0.0
Hamilton West,general,30357.0,1780.0,0.05863557004974141,263.0,0.008663570181506737,0.0,0.0,0.0,0.0,252.0,0.00830121553513193,2355.0,0.0775768356556972,9160.0,0.3017425964357479,0.0,0.0,14300.0,0.47106104028724843,0.0,0.0,0.0,0.0,1436.0,0.047303752017656554,0.0,0.0,0.0,0.0,0.0,0.0,811.0,0.026715419837269824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henderson,general,23955.107799562567,1581.5291708316702,0.06602054075751435,1.0000058139470338e-09,4.1744993273012716e-14,9.999932392601138e-10,4.1744468345843725e-14,31.068528129783108,0.0012969479573934723,20.894344825144994,0.0008722292130752397,1908.9875582468949,0.07969020946262467,9722.047787813497,0.4058444599439885,1.0000077742366484e-09,4.174507510481372e-14,9540.393066210996,0.39826132890060334,13.471078389679846,0.0005623468073028599,1.0000047289236249e-09,4.174494797898115e-14,268.1676174874647,0.011194590303298974,34.3981473064649,0.0014359420794212844,1.002499027246479e-09,4.184907184031896e-14,522.4332749094636,0.02180884675121368,74.4115522355772,0.003106291687693261,0.0,0.0,9.99999955300779e-10,4.174474870528612e-14,1.0000089782054707e-09,4.1745125364191905e-14,9.999939400981042e-10,4.174449760215083e-14,9.99983745103633e-10,4.1744072014649557e-14,1.0000069146148756e-09,4.1745039220117236e-14,1.0000037878942765e-09,4.174490869594572e-14,1.0000120898936326e-09,4.174525526083808e-14,1.0000017915507632e-09,4.17448253590837e-14,1.0000017916471072e-09,4.174482536310556e-14,0.0,0.0,9.999740068862193e-10,4.174366549519261e-14,1.0000036189849984e-09,4.174490164487003e-14,0.0,0.0,9.999840512798363e-10,4.174408479589879e-14,1.0000031017655471e-09,4.174488005367305e-14,0.0,0.0,1.0000152420980809e-09,4.174538684882652e-14,9.999920176471603e-10,4.174441734991569e-14,0.0,0.0,9.999800426398759e-10,4.1743917456223514e-14,9.999999121388732e-10,4.174474690350313e-14,1.000095785435069e-09,4.1748749110339265e-14,9.99993683357344e-10,4.174448688457183e-14,0.0,0.0,9.99982997780194e-10,4.1744040817819e-14,9.999925309634403e-10,4.174443877817576e-14,1.0000089691294878e-09,4.1745124985317266e-14,0.0,0.0,228.63835935910683,0.009544451282464355,1.0000090073229138e-09,4.17451265796923e-14,1.000001791919374e-09,4.1744825374471265e-14,0.0,0.0,1.000007433381005e-09,4.174506087587991e-14,0.0,0.0,9.999999667814013e-10,4.174474918454184e-14,0.0,0.0,1.0000105850442378e-09,4.174519244127545e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0000019220702798e-09,4.1744830807588364e-14,0.0,0.0,8.667313780820802,0.00036181485190306975,9.999941091431533e-10,4.174450465889424e-14,0.0,0.0,9.999929631358975e-10,4.174445681910719e-14,0.0,0.0,9.999873047299926e-10,4.174422061036406e-14
Hutt South,general,36164.306768834715,465.1820500258707,0.012863015818313716,1.0000061835028724e-09,2.7651744851491165e-14,9.999936088114785e-10,2.765139714148322e-14,1.0000016130501838e-09,2.7651618471281036e-14,141.51289576154414,0.00391305429041144,1772.700764854553,0.04901796614506688,15179.100103362478,0.4197260077564478,1.0000081437931497e-09,2.765179905660257e-14,16422.781180223505,0.4541157469213858,1.0000014339025265e-09,2.7651613517566355e-14,1.0000050984778696e-09,2.765171484884215e-14,1011.8634407379288,0.027979616675797077,313.9877325266409,0.008682254979576323,1.0024993977236325e-09,2.772068614868502e-14,1.0000301999894203e-09,2.7652408945142994e-14,855.8077346878431,0.023664430792445103,0.0,0.0,1.0000003248543076e-09,2.765158285063761e-14,1.0000093477622915e-09,2.765183234824423e-14,9.999943096498443e-10,2.765141652076706e-14,9.99984114651254e-10,2.7651134613010457e-14,1.0000072841711325e-09,2.7651775286700862e-14,1.000004157449787e-09,2.7651688827934615e-14,1.0000124594517293e-09,2.7651918391354573e-14,1.000002161105054e-09,2.765163362586076e-14,1.0000021612003416e-09,2.7651633628495616e-14,0.0,0.0,9.999743764301839e-10,2.7650865335871196e-14,1.0000039885402976e-09,2.765168415732139e-14,0.0,0.0,9.99984420827817e-10,2.7651143079274308e-14,1.0000034713202593e-09,2.7651669855373293e-14,0.0,0.0,1.0000156116572083e-09,2.7652005554797222e-14,9.999923871976933e-10,2.76513633619394e-14,0.0,0.0,9.99980412185411e-10,2.7651032234002708e-14,1.0000002816924687e-09,2.7651581657144832e-14,1.0000961550245373e-09,2.765423270566849e-14,9.999940529089833e-10,2.765140942147818e-14,0.0,0.0,9.999833673275389e-10,2.7651113948333548e-14,9.999929005153125e-10,2.7651377555979465e-14,1.0000093386864958e-09,2.7651832097284194e-14,0.0,0.0,9.999988390807005e-10,2.7651541766658962e-14,1.0000093768800731e-09,2.765183315339672e-14,1.000002161473663e-09,2.7651633636053383e-14,0.0,0.0,1.000007802938091e-09,2.7651789631423735e-14,0.0,0.0,1.0000003363349984e-09,2.7651583168096777e-14,0.0,0.0,1.000010954601986e-09,2.7651876779890737e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0000022916259525e-09,2.765163723496903e-14,0.0,0.0,1.0000108430907504e-09,2.7651873696429566e-14,9.999944786955472e-10,2.7651421195146802e-14,0.0,0.0,1.3708666143458086,3.7906619449627585e-05,0.0,0.0,9.999876742781313e-10,2.7651233042295998e-14
Ilam,general,33689.84748399857,8.240735613495076,0.00024460590441702414,4.096219170821109,0.00012158615953268002,306.56934214391265,0.009099754526627694,244.00130242132747,0.007242576640847633,1.0000056606219e-09,2.9682700733414295e-14,1584.3894348253234,0.04702869122746399,7486.49897372272,0.2222182506845283,1.000011868560287e-09,2.968288500074853e-14,15374.669720571772,0.45635913691429353,230.00118648797982,0.006827017741686776,1.0000088232336646e-09,2.9682794607741447e-14,22.365436488597734,0.0006638628001869254,1.0000148140187731e-09,2.96829724294164e-14,1.0025031317683762e-09,2.9756832002416395e-14,1.0000339248387109e-09,2.968353968695435e-14,8429.015132513618,0.25019451739925763,0.0,0.0,1.0000040495914968e-09,2.968265291395165e-14,1.000013072533405e-09,2.968292073772e-14,9.999980343649415e-10,2.968247436679265e-14,9.999878393273583e-10,2.9682171752256087e-14,1.0000110089344879e-09,2.968285948487763e-14,1.0000078822018229e-09,2.968276667553302e-14,1.000016184233248e-09,2.968301310085237e-14,1.000005885849766e-09,2.9682707418747795e-14,1.000005885944336e-09,2.9682707421554865e-14,0.0,0.0,9.999781010702713e-10,2.968188269612155e-14,1.0000077132911778e-09,2.9682761661837274e-14,0.0,0.0,9.999881455063926e-10,2.968218084042529e-14,1.0000071960700118e-09,2.9682746309403096e-14,0.0,0.0,1.000019336452239e-09,2.968310666669569e-14,9.999961119054245e-10,2.968241730332515e-14,0.0,0.0,9.999841368492566e-10,2.968206185332872e-14,1.0000040064300257e-09,2.968265163280987e-14,1.0000998801186123e-09,2.9685497406707546e-14,9.99997777622779e-10,2.9682466746035013e-14,0.0,0.0,9.999870920023899e-10,2.968214956975827e-14,9.999966252246687e-10,2.9682432539940406e-14,1.0000130634580845e-09,2.96829204683415e-14,0.0,0.0,1.000002563812454e-09,2.968260881226661e-14,1.000013101651538e-09,2.968292160201993e-14,1.000005886217636e-09,2.9682707429667107e-14,0.0,0.0,1.0000115277024444e-09,2.968287488322447e-14,0.0,0.0,1.0000040610730548e-09,2.9682653254753366e-14,0.0,0.0,1.000014679378284e-09,2.968296843294568e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0000060163699582e-09,2.9682711292917664e-14,0.0,0.0,1.0000145678672575e-09,2.968296512301599e-14,9.999982034106895e-10,2.9682479384498594e-14,0.0,0.0,9.999970573984318e-10,2.968244536795227e-14,0.0,0.0,9.99991398968875e-10,2.968227741143185e-14
Invercargill,general,32840.21786906962,1709.8143671492824,0.052064647499176976,9.999943154380174e-10,3.0450294800871486e-14,875.3210148004965,0.02665393446201564,9.999897450394319e-10,3.0450155630096075e-14,269.12954724402834,0.00819512063887696,7.009284925805608,0.00021343600562428867,9676.736310493956,0.2946611483844003,9.999962757048918e-10,3.0450354491915017e-14,18783.76021683229,0.5719742874947146,9.999895658936624e-10,3.045015017502357e-14,9.999932304263319e-10,3.045026176175799e-14,9.999910322951717e-10,3.0450194827635655e-14,1518.447127581757,0.046237425513912266,1.0024875000697886e-09,3.052621343946613e-14,1.0000183316394005e-09,3.045102610544074e-14,9.99986202593356e-10,3.045004776095556e-14,0.0,0.0,9.999884568598116e-10,3.04501164044239e-14,9.9999747966099e-10,3.0450391152941536e-14,9.999824417257717e-10,3.0449933240777916e-14,9.99972246848178e-10,3.044962280198501e-14,9.999954160930776e-10,3.045032831633306e-14,9.999922894092988e-10,3.0450233107349026e-14,1.0000005913122565e-09,3.0450485904178536e-14,9.999902930877987e-10,3.0450172318425275e-14,9.999902931837994e-10,3.045017232134854e-14,0.0,0.0,9.999625087427355e-10,3.044932627211785e-14,9.999921205016568e-10,3.04502279640323e-14,0.0,0.0,9.999725530225188e-10,3.044963212513695e-14,9.999916032874768e-10,3.045021221461851e-14,0.0,0.0,1.0000037434804571e-09,3.045058188917514e-14,9.999805192964803e-10,3.044987470190649e-14,0.0,0.0,9.999685444262727e-10,3.044951006150565e-14,9.99988413698392e-10,3.045011509013848e-14,1.0000842858916745e-09,3.045303444328238e-14,9.999821849882675e-10,3.044992542300078e-14,0.0,0.0,9.999714995333319e-10,3.044960004589828e-14,9.999810326069579e-10,3.0449890332450705e-14,9.999974705840668e-10,3.0450390876544977e-14,0.0,0.0,9.999869711029185e-10,3.045007116243132e-14,9.999975087769387e-10,3.04503920395358e-14,9.999902934564038e-10,3.045017232964947e-14,0.0,0.0,9.999959348540128e-10,3.045034411284627e-14,0.0,0.0,9.999884683394012e-10,3.0450116753982774e-14,0.0,0.0,9.99999086481359e-10,3.04504400813736e-14,0.0,0.0,0.0,0.0,0.0,0.0,9.999904236058145e-10,3.0450176292759925e-14,0.0,0.0,9.999989749706057e-10,3.045043668581899e-14,9.999826107684513e-10,3.04499383882066e-14,0.0,0.0,9.999814647743372e-10,3.0449903492149617e-14,0.0,0.0,9.999758064328066e-10,3.0449731193002485e-14
Kaikōura,general,35716.0,2190.0,0.0613170567812745,0.0,0.0,0.0,0.0,433.0,0.012123418075932355,0.0,0.0,1949.0,0.05456938066972785,8029.0,0.224801209541942,0.0,0.0,18076.0,0.506103707022063,190.0,0.005319744652256692,0.0,0.0,3879.0,0.10860678687423003,717.0,0.020075036398252883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0026318736700638367,0.0,0.0,0.0,0.0,124.0,0.003471833351999104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0009799529622578117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaipara ki Mahurangi,general,33792.19564029341,1893.8143056711476,0.056042949260538315,9.99993650229398e-10,2.9592443796017135e-14,9.999810756957346e-10,2.9592071682473605e-14,990.5589210876344,0.02931324533131265,9.999894026592364e-10,2.9592318099237713e-14,2957.180342534891,0.08751074875433028,5933.046882815162,0.1755744712764585,9.999956104944902e-10,2.959250180542005e-14,20148.057923063207,0.5962340576366368,9.999889006869076e-10,2.959230324455546e-14,9.999925652170527e-10,2.959241168764641e-14,1869.5320101029058,0.05532437223089755,0.005254976460796915,1.5550858300935452e-07,1.0024868332017954e-09,2.966622364148609e-14,1.0000176664143263e-09,2.9593154498132615e-14,9.999855373890348e-10,2.9592203715720206e-14,0.0,0.0,9.999877916544742e-10,2.9592270425367114e-14,9.999968144495428e-10,2.959253743361851e-14,9.999817765242853e-10,2.959209242183479e-14,9.999715816535355e-10,2.959179072877944e-14,9.999947508832687e-10,2.959247636726176e-14,9.999916242000294e-10,2.959238384047621e-14,9.999999260981472e-10,2.9592629515489644e-14,9.999896278821062e-10,2.959232476417515e-14,9.999896279775608e-10,2.9592324766999905e-14,0.0,0.0,9.9996184355554e-10,2.959150255283198e-14,9.999914552931083e-10,2.959237884207591e-14,0.0,0.0,9.999718878272717e-10,2.959179978926605e-14,9.999909380810942e-10,2.959236353641126e-14,0.0,0.0,1.0000030782644375e-09,2.9592722796385735e-14,9.99979854095828e-10,2.9592035532117487e-14,0.0,0.0,9.999678792343847e-10,2.9591681164453104e-14,9.999877484930917e-10,2.959226914810822e-14,1.0000836206233527e-09,2.959510625674956e-14,9.999815197876727e-10,2.959208482432277e-14,0.0,0.0,9.999708343386783e-10,2.95917686137661e-14,9.999803674066183e-10,2.959205072233465e-14,9.999968053726138e-10,2.959253716500829e-14,0.0,0.0,9.999863058994565e-10,2.959222645796608e-14,9.999968435664575e-10,2.959253829526464e-14,9.999896282507256e-10,2.959232477508357e-14,0.0,0.0,9.99995269643388e-10,2.959249171873892e-14,0.0,0.0,9.999878031350167e-10,2.959227076510658e-14,0.0,0.0,9.999984212675774e-10,2.959258498359282e-14,0.0,0.0,0.0,0.0,0.0,0.0,9.99989758400051e-10,2.959232862654463e-14,0.0,0.0,9.999983097592147e-10,2.959258168376691e-14,9.999819455672128e-10,2.959209742425989e-14,0.0,0.0,9.999807995741777e-10,2.959206351131007e-14,0.0,0.0,9.999751412367431e-10,2.959189606621432e-14
Kapiti,general,35610.9943517914,981.798900954993,0.02757010633446701,1.0000030396810073e-09,2.8081300673669686e-14,9.999904650302809e-10,2.808094756219512e-14,9.999984692438784e-10,2.8081172330240584e-14,9.999987920718799e-10,2.8081181395643204e-14,2775.8020187476677,0.07794789416229912,13241.039982394595,0.3718244947498499,1.000004999966107e-09,2.8081355720857657e-14,17193.96992716789,0.4828275716570367,9.999982900967263e-10,2.808116729957083e-14,1.0000019546609142e-09,2.8081270204986832e-14,574.1390669534022,0.016122522760292437,753.7764472523531,0.021166958715221458,1.0024962460649406e-09,2.8151312938963477e-14,1.0000270560930012e-09,2.8081975083706002e-14,9.999949267662644e-10,2.8081072853163953e-14,0.0,0.0,9.999971810521162e-10,2.808113615625034e-14,1.0000062039314265e-09,2.808138952966702e-14,9.99991165866559e-10,2.8080967242529547e-14,9.999809708998702e-10,2.8080680955474822e-14,1.0000041403469079e-09,2.8081331581705832e-14,1.0000010136352322e-09,2.8081243779842037e-14,1.0000093156112967e-09,2.808147690941945e-14,9.999990172971715e-10,2.808118772024311e-14,9.999990173910616e-10,2.808118772287966e-14,0.0,0.0,9.999712327096215e-10,2.8080407495257663e-14,1.0000008447264952e-09,2.8081239036679425e-14,0.0,0.0,9.999812770745596e-10,2.80806895532322e-14,1.0000003275081305e-09,2.808122451255916e-14,0.0,0.0,1.0000124678068398e-09,2.8081565426901215e-14,9.999892434199477e-10,2.8080913257892323e-14,0.0,0.0,9.99977268445757e-10,2.808057698606367e-14,9.999971378903482e-10,2.8081134944215442e-14,1.0000930109194129e-09,2.8083827175387578e-14,9.99990909126445e-10,2.8080960032955128e-14,0.0,0.0,9.999802235786313e-10,2.80806599697862e-14,9.999897567353704e-10,2.808092767241323e-14,1.0000061948559017e-09,2.8081389274815257e-14,0.0,0.0,9.999956952831239e-10,2.8081094434051358e-14,1.0000062330493832e-09,2.8081390347334634e-14,9.999990176659983e-10,2.8081187730600217e-14,0.0,0.0,1.0000046591101294e-09,2.8081346149207552e-14,0.0,0.0,9.99997192532911e-10,2.808113647864501e-14,0.0,0.0,1.000007810766147e-09,2.8081434651538784e-14,0.0,0.0,0.0,0.0,0.0,0.0,62.79407414177092,0.0017633339165271605,0.0,0.0,1.0000076992553373e-09,2.8081431520179728e-14,9.999913349106048e-10,2.8080971989491793e-14,0.0,0.0,27.67393413772341,0.0007771177031548203,0.0,0.0,9.999845305158292e-10,2.808078091381701e-14
Kenepuru,general,44092.946571286164,1003.0005026158303,0.02274741382942631,1.0000137945782522e-09,2.2679677189672617e-14,1.0000012197917131e-09,2.2679392001507232e-14,1.0000092240916694e-09,2.2679573533942203e-14,120.56442915908812,0.002734324615030402,3590.1784346969916,0.08142296475679303,21505.34343168321,0.4877275188881965,1.0000157548840725e-09,2.2679721648162527e-14,15107.496069417899,0.342628407584266,1.0000090449420785e-09,2.2679569470943362e-14,1.0000127095454577e-09,2.2679652581818552e-14,983.8711349766721,0.022313571931193647,222.25116012040505,0.005040515034781948,1.0025070277758847e-09,2.273622213373984e-14,1.0000378112475442e-09,2.268022187246566e-14,1387.3275089503452,0.03146370603079153,0.0,0.0,1.000007935885763e-09,2.2679544318251112e-14,1.0000169588623637e-09,2.2679748953624848e-14,1.0000019206343972e-09,2.2679407896173807e-14,9.999917255592271e-10,2.2679176678349578e-14,1.0000148952546326e-09,2.2679702152313265e-14,1.0000117685090654e-09,2.2679631239711357e-14,1.0000200705754687e-09,2.2679819525300068e-14,1.0000097721504625e-09,2.2679585963567254e-14,1.0000097722446852e-09,2.2679585965704165e-14,0.0,0.0,9.99981987263433e-10,2.267895581999124e-14,1.0000115995992676e-09,2.2679627408944514e-14,0.0,0.0,9.999920317381781e-10,2.267918362229356e-14,1.0000110823755978e-09,2.267961567864046e-14,0.0,0.0,1.000023222805062e-09,2.2679891015863493e-14,9.999999981691636e-10,2.2679364295884347e-14,0.0,0.0,9.999880230653401e-10,2.2679092708141758e-14,1.0000078927235501e-09,2.2679543339359563e-14,1.0001037667854607e-09,2.2681717702140136e-14,1.0000016638926183e-09,2.2679402073433463e-14,0.0,0.0,9.999909782298246e-10,2.267915972939378e-14,1.0000005114896016e-09,2.2679375937665584e-14,1.0000169497865101e-09,2.267974874779026e-14,0.0,0.0,1.0000064501009744e-09,2.2679510621596564e-14,1.0000169879806084e-09,2.2679749614008127e-14,1.000009772519196e-09,2.2679585971929896e-14,0.0,0.0,1.0000154140252706e-09,2.267971391770157e-14,0.0,0.0,1.0000079473665288e-09,2.2679544578627582e-14,0.0,0.0,1.0000185657146836e-09,2.2679785396014045e-14,0.0,0.0,0.0,0.0,0.0,0.0,25.944766280315726,0.0005884108071201405,0.0,0.0,1.0000184542014025e-09,2.2679782866963716e-14,1.0000020896813995e-09,2.2679411730052363e-14,0.0,0.0,146.9691333464066,0.0033331665215160424,0.0,0.0,9.999952852135495e-10,2.267925740904687e-14
