electorate_name,electorate_type,Total_valid_party_votes,ACT NEW ZEALAND_votes,ACT NEW ZEALAND_share,ANIMAL JUSTICE PARTY_votes,ANIMAL JUSTICE PARTY_share,AOTEAROA LEGALISE CANNABIS PARTY_votes,AOTEAROA LEGALISE CANNABIS PARTY_share,DEMOCRACYNZ_votes,DEMOCRACYNZ_share,FREEDOMS NZ_votes,FREEDOMS NZ_share,GREEN PARTY_votes,GREEN PARTY_share,LABOUR PARTY_votes,LABOUR PARTY_share,LEIGHTON BAKER_votes,LEIGHTON BAKER_share,NATIONAL PARTY_votes,NATIONAL PARTY_share,NEW CONSERVATIVES_votes,NEW CONSERVATIVES_share,NEW NATION PARTY_votes,NEW NATION PARTY_share,NEW ZEALAND FIRST PARTY_votes,NEW ZEALAND FIRST PARTY_share,NEWZEAL_votes,NEWZEAL_share,NZ LOYAL_votes,NZ LOYAL_share,TE PĀTI MĀORI_votes,TE PĀTI MĀORI_share,THE OPPORTUNITIES PARTY (TOP)_votes,THE OPPORTUNITIES PARTY (TOP)_share,WOMEN’S RIGHTS PARTY_votes,WOMEN’S RIGHTS PARTY_share
Kaikōura,general,41939.0,5911.0,0.1409427978731014,73.0,0.0017406232862013876,176.0,0.0041965712105677296,269.0,0.006414077588879086,97.0,0.002312882996733351,3282.0,0.07825651541524595,8714.0,0.2077779632323136,98.0,0.0023367271513388493,17281.0,0.4120508357376189,111.0,0.0026467011612103294,43.0,0.0010252986480364338,3819.0,0.09106082643839862,261.0,0.006223324352035099,850.0,0.020267531414673693,215.0,0.0051264932401821695,703.0,0.016762440687665418,36.0,0.0008583895657979446
Kaipara ki Mahurangi,general,42840.52719582404,5343.256969796486,0.12472435143882474,99.40794897917846,0.002320418432872797,162.48313755608964,0.003792743651668413,287.97214919445275,0.006721956241997959,113.34438184316298,0.002645727988478429,4052.748538574302,0.09460080918353757,7040.193942037595,0.16433490442022036,18.18287857809758,0.00042443171847497685,20367.45885432915,0.47542502829690914,65.8008942600288,0.0015359496851953508,27.4017453675805,0.0006396220392509907,3032.3336083870377,0.07078189291476833,319.9210424880427,0.007467719550361359,814.760225389465,0.01901844535351295,275.575033922157,0.006432578027401567,780.3576429849052,0.01821540709379907,39.32820213630952,0.0009180139627260028
Kapiti,general,42847.09122778778,3105.000824090483,0.07246701549898411,84.43519155782658,0.0019706166542074978,130.08893502933182,0.0030361205697194394,46.43030765716352,0.0010836279972968597,91.86891570562817,0.0021441109086548235,6144.139081386166,0.14339687725176278,12389.94417461992,0.2891665179498725,12.168194173361993,0.0002839911374303633,15639.680288124706,0.3650114824593238,42.225000716899814,0.0009854811495235288,16.10406797333946,0.00037584973709709916,2808.954429126514,0.0655576457732751,212.8931833545492,0.00496867295431436,522.9402283108961,0.01220480115046297,484.3558066666878,0.011304286773907461,1077.443843336342,0.02514625409711788,38.41875595796405,0.0008966479370494162
Kenepuru,general,53177.564602689155,2687.9657677316522,0.050546988900573374,93.32465805886065,0.001754962995318166,185.89190872420198,0.003495683003030973,47.20059846661871,0.0008876036129009151,120.68382547850557,0.0022694500280368737,7910.0848955971915,0.14874853624261655,20035.83497086418,0.37677233097378404,17.681179246554898,0.0003324932117267509,16627.212679471006,0.3126734517404014,87.66204161561055,0.001648477929942236,21.934660212148977,0.00041247959315233014,2287.747121731546,0.04302090813718566,297.3407272174712,0.005591469437139942,214.85383979073782,0.004040309882485156,916.0964675850585,0.017227123401185845,1580.9722108019505,0.029730060460911024,45.07705009585856,0.0008476704496087255
Manurewa,general,31205.740829224913,848.8214085132752,0.027200809401016813,48.07719560743561,0.0015406522751868202,136.15188199066768,0.004363039568128382,19.08337545616762,0.0006115341263840655,379.97856314789504,0.012176559602521474,1845.0713258233964,0.05912602222522605,16206.93480519708,0.5193574763659802,14.707660270079877,0.0004713126456624868,9252.782571035017,0.296508986012265,59.98306411321248,0.0019221804231943412,40.64997815451744,0.00130264422745086,1066.8495032692604,0.034187603784433494,248.06697707957403,0.0079494019525809,139.7396655048032,0.004478011474540407,673.4010643620745,0.021579396818274494,184.8720105932873,0.005924294879106036,40.569779107171435,0.0013000742180482663
Maungakiekie,general,39504.60210643719,3097.4928445124206,0.07840840508067516,56.968251642491,0.0014420662050715388,121.7316560324242,0.0030814550594496,29.418946962796447,0.0007446967035266682,111.28035415037732,0.0028168959619072945,5439.277521647959,0.13768718659646087,11115.612046356231,0.28137511716755065,5.4644385258446775,0.00013832409983833907,16161.75321185095,0.40911064407904585,48.36425560890009,0.0012242688960286791,7.3345000679256325,0.0001856619147350048,1533.7346412627699,0.03882420172542001,160.9451541025861,0.0040740861955513895,168.3839580360771,0.004262388406859547,376.0012917196871,0.009517911121003761,1038.939690968138,0.026299206562539836,31.899342989610183,0.0008074842243357833
Mt Albert,general,43765.004958960104,2728.0130608193813,0.062333205797132425,55.60901610539855,0.0012706274375507318,121.61856580105132,0.0027788998519501385,23.020475679936645,0.0005260018981266815,83.19864148456838,0.0019010312363173844,9450.66680875944,0.21594117989068307,12731.762933612645,0.2909119499826777,6.672691019706427,0.00015246636041658468,14711.532360650137,0.3361483078648255,44.381588524673546,0.0010140885067028242,11.458561981829646,0.0002618201915565809,1419.9339394480546,0.03244450539374036,117.9497403658331,0.0026950697361153844,152.2289616963477,0.003478326161258244,625.324037952675,0.01428822042952039,1450.0905247757576,0.03313356244642393,31.543050282664282,0.0007207368150019233
Mt Maunganui,general,44223.08323689024,5008.27626647405,0.11325027338429042,87.36280357415883,0.0019755023209526486,185.6086520502549,0.004197098855726615,73.00221880734074,0.0016507718020538958,123.42309991307306,0.0027909202814270385,3656.364567599677,0.08268000103053855,7780.49900591822,0.17593750675954323,51.9236848646875,0.0011741308173052378,20876.746731628853,0.4720780462049236,53.40223074550137,0.0012075646209343002,25.644014726751454,0.0005798784899140546,3735.960947599965,0.08447988412719902,412.29834147061024,0.009323147806362743,663.3963682089591,0.015001133336980079,561.4878235651992,0.012696713627077326,904.6942918844819,0.02045751281154,22.992187858455765,0.0005199137232312201
Mt Roskill,general,36936.36989797232,2432.3658017421976,0.06585286557561051,49.29970749424652,0.001334719888024321,96.25134863320226,0.0026058691988160463,26.055050380297665,0.0007054036564033868,95.49930915968824,0.0025855087931889818,4288.580365749246,0.11610725086399665,10143.065319320573,0.2746091548069913,4.302149172409542,0.00011647460712282164,16870.689950221407,0.45675008120241806,72.43218810282238,0.0019609990993402593,13.588473463496133,0.0003678887097197414,1418.03100902916,0.03839118497421711,218.72486564545773,0.005921666537605932,174.94081156251457,0.004736275168505885,292.3382698229274,0.007914645392344734,718.2829419726813,0.01944649525540171,21.922336499992362,0.0005935162702925992
Māngere,general,30315.03794954898,641.8730917237381,0.0211734220089699,43.58534067197216,0.0014377465317545683,127.92710313765502,0.004219922249497243,17.21315760179234,0.0005678092051357117,275.1749965176817,0.009077178032092013,2372.6697294440633,0.07826708755544749,18554.381911750093,0.612052076023416,12.237324505066102,0.00040367175279251683,5887.21286134328,0.1942010717961469,55.015752495984586,0.0018148007133470569,11.249529584866993,0.00037108743203913296,1013.8252324252464,0.0334429808107936,252.718107183207,0.008336394221369163,98.87033079449196,0.003261428567532535,641.3698534542291,0.021156821723977794,282.07275966892604,0.009304714054402913,27.64086724668523,0.0009117873212854238
